Artist,Track,Album,Album_type,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
DJ Alex,Ya No M  s,Ya No M  s,single,2.640783333,"YA NO MAS - VETE x FER PALACIO ft DJ ALEX, SANTIAGO SAEZ",Fer Palacio,38403169,160142,2011,FALSE,FALSE,105974874,9.209809264,Spotify
DJ Alex,TEKA | E6,TEKA | E6,single,2.291666667,"TEKA - EL NOBA, DJ ALEX | E6 (Video Oficial)",DJ ALEX,31051111,285578,6655,FALSE,TRUE,8754398,5.543259557,Youtube
DJ Alex,Oregano (Remix),Oregano (Remix),single,3.489366667,"OREGANO REMIX - DJ Alex, Tirri La Roca, Callejero Fino, Salas, Blunted Vato, Gusty DJ",DJ ALEX,11346992,90843,2099,FALSE,FALSE,2884626,4.943548387,Youtube
DJ Alex,INDIQUEN | E3,INDIQUEN | E3,single,2.681816667,"INDIQUEN - DJ ALEX, ALEJO ISAKK | E3 (VIDEOCLIP OFICIAL)",DJ ALEX,21778622,133749,1312,FALSE,TRUE,8425462,6.233031674,Youtube
DJ Alex,OREGANO | E1,OREGANO | E1,single,2.02105,"OREGANO - TIRRI LA ROCA, DJ ALEX | E1 (Video Oficial)",DJ ALEX,22482409,152787,2490,FALSE,TRUE,9706635,2.252747253,Youtube
DJ Alex,ME VOY | E9,ME VOY | E9,single,2.310933333,"ME VOY - ECKO, DJ ALEX | E9 (Video Oficial)",DJ ALEX,1739934,27487,333,FALSE,TRUE,646718,8.533969011,Youtube
DJ Alex,AL RITMO | E2,AL RITMO | E2,single,2.947366667,"AL RITMO - CALLEJERO FINO, DJ ALEX | E2 (VIDEOCLIP OFICIAL)",DJ ALEX,31489301,216667,3158,FALSE,TRUE,7560053,2.737327189,Youtube
DJ Alex,PA' QUE BAILE | E8,PA' QUE BAILE | E8,single,2.45745,"PA QUE BAILE - DJ ALEX, THE LA PLANTA | E8 (Video Oficial)",DJ ALEX,390109,8929,178,FALSE,TRUE,654745,4.470149254,Spotify
Girls' Generation,FOREVER 1,FOREVER 1 - The 7th Album,album,3.37555,Girls' Generation      'FOREVER 1' MV,SMTOWN,55062719,1971826,141302,TRUE,TRUE,50962315,3.429133858,Youtube
Girls' Generation,Gee,Oh! - The Second Album,album,3.352666667,Girls' Generation      'Gee' MV,SMTOWN,303788090,2400242,245048,TRUE,TRUE,48804176,8.454545455,Youtube
Girls' Generation,The Boys,The Boys,album,3.781783333,Girls' Generation      'The Boys' MV (KOR Ver.),SMTOWN,285408189,2137001,271290,TRUE,TRUE,25494660,4.038793103,Youtube
Girls' Generation,Into the New World,Girls' Generation,album,4.429333333,Girls' Generation      '         (Into The New World)' MV,SMTOWN,62338338,948755,65439,TRUE,TRUE,29249428,7.824561404,Youtube
Girls' Generation,Lion Heart,Lion Heart - The 5th Album,album,3.737633333,Girls' Generation      'Lion Heart' MV,SMTOWN,135174802,1201912,70410,TRUE,TRUE,52655129,10.16774194,Youtube
Girls' Generation,I GOT A BOY,I GOT A BOY - The 4th Album,album,4.5221,Girls' Generation      'I GOT A BOY' MV,SMTOWN,260088489,2113863,513841,TRUE,TRUE,42725761,1.604089219,Youtube
Girls' Generation,Run Devil Run,Run Devil Run - The 2nd Album Repackage,album,3.365333333,Girls' Generation      'Run Devil Run' MV,SMTOWN,120570014,743726,77954,TRUE,TRUE,12778836,4.906077348,Youtube
Girls' Generation,Mr.Mr.,Mr. Mr. - The 4th Mini Album,single,3.9239,Girls' Generation      'Mr.Mr.' MV,SMTOWN,97909255,904336,165876,TRUE,TRUE,35900302,6.300653595,Youtube
Girls' Generation,Villain,FOREVER 1 - The 7th Album,album,3.03645,Villain - Girls' Generation FMV,Milleni Fitria,29632,945,50,FALSE,FALSE,5216874,14.55008489,Spotify
